station_id,country_iso,town,postcode,lat,lon,fuel,price_eur,raw_line,ocr_text_path,response_path,scraped_at
AT.1005.8,AUT,Graz,8041,47.04195,15.4642,DIESEL,1.589,DIESEL 1.589 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.1005.8_2025-09-03_20-52-02.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.1005.8_2025-09-03_20-52-02.json,2025-09-03T10:52:03Z
AT.1005.8,AUT,Graz,8041,47.04195,15.4642,SUPER 95,1.589,SUPER 95 1.589 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.1005.8_2025-09-03_20-52-02.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.1005.8_2025-09-03_20-52-02.json,2025-09-03T10:52:03Z
AT.1005.8,AUT,Graz,8041,47.04195,15.4642,MaxxMotion Super 100plus,1.849,MaxxMotion Super 100plus 1.849 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.1005.8_2025-09-03_20-52-02.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.1005.8_2025-09-03_20-52-02.json,2025-09-03T10:52:03Z
AT.1005.8,AUT,Graz,8041,47.04195,15.4642,MaxxMotion Diesel,1.849,MaxxMotion Diesel 1.849 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.1005.8_2025-09-03_20-52-02.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.1005.8_2025-09-03_20-52-02.json,2025-09-03T10:52:03Z
AT.1102.8,AUT,Graz,8054,47.02883,15.40058,DIESEL,1.539,DIESEL 1.539 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.1102.8_2025-09-03_20-52-04.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.1102.8_2025-09-03_20-52-04.json,2025-09-03T10:52:04Z
AT.1102.8,AUT,Graz,8054,47.02883,15.40058,SUPER 95,1.539,SUPER 95 1.539 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.1102.8_2025-09-03_20-52-04.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.1102.8_2025-09-03_20-52-04.json,2025-09-03T10:52:04Z
AT.1103.8,AUT,Sankt Margarethen an der Raab,8321,47.04704,15.74609,DIESEL,1.559,DIESEL 1.559 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.1103.8_2025-09-03_20-52-05.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.1103.8_2025-09-03_20-52-05.json,2025-09-03T10:52:05Z
AT.1103.8,AUT,Sankt Margarethen an der Raab,8321,47.04704,15.74609,SUPER 95,1.559,SUPER 95 1.559 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.1103.8_2025-09-03_20-52-05.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.1103.8_2025-09-03_20-52-05.json,2025-09-03T10:52:05Z
AT.1104.8,AUT,Seiersberg,8055,47.0138,15.4099,DIESEL,1.539,DIESEL 1.539 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.1104.8_2025-09-03_20-52-05.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.1104.8_2025-09-03_20-52-05.json,2025-09-03T10:52:06Z
AT.1104.8,AUT,Seiersberg,8055,47.0138,15.4099,SUPER 95,1.539,SUPER 95 1.539 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.1104.8_2025-09-03_20-52-05.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.1104.8_2025-09-03_20-52-05.json,2025-09-03T10:52:06Z
