station_id,country_iso,town,postcode,lat,lon,fuel,price_eur,raw_line,ocr_text_path,response_path,scraped_at
AT.3542.8,AUT,Unterweissenbach,4273,48.43733,14.78153,DIESEL,1.494,DIESEL 1.494 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3542.8_2025-08-29_13-06-48.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3542.8_2025-08-29_13-06-48.json,2025-08-29T03:08:12Z
AT.3542.8,AUT,Unterweissenbach,4273,48.43733,14.78153,SUPER 95,1.509,SUPER 95 1.509 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3542.8_2025-08-29_13-06-48.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3542.8_2025-08-29_13-06-48.json,2025-08-29T03:08:12Z
AT.3542.8,AUT,Unterweissenbach,4273,48.43733,14.78153,MaxxMotion Super 100plus,1.769,MaxxMotion Super 100plus 1.769 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3542.8_2025-08-29_13-06-48.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3542.8_2025-08-29_13-06-48.json,2025-08-29T03:08:12Z
AT.3542.8,AUT,Unterweissenbach,4273,48.43733,14.78153,MaxxMotion Diesel,1.759,MaxxMotion Diesel 1.759 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.3542.8_2025-08-29_13-06-48.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.3542.8_2025-08-29_13-06-48.json,2025-08-29T03:08:12Z
AT.3542.8,AUT,Unterweissenbach,4273,48.43733,14.78153,DIESEL,1.494,2025-08-29T03:09:53Z
AT.3542.8,AUT,Unterweissenbach,4273,48.43733,14.78153,SUPER 95,1.509,2025-08-29T03:09:53Z
AT.3542.8,AUT,Unterweissenbach,4273,48.43733,14.78153,MaxxMotion Super 100plus,1.769,2025-08-29T03:09:53Z
AT.3542.8,AUT,Unterweissenbach,4273,48.43733,14.78153,MaxxMotion Diesel,1.759,2025-08-29T03:09:53Z
AT.1005.8,AUT,Graz,8041,47.04195,15.4642,DIESEL,1.469,DIESEL 1.469 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.1005.8_2025-09-02_11-07-00.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.1005.8_2025-09-02_11-07-00.json,2025-09-02T01:07:02Z
AT.1005.8,AUT,Graz,8041,47.04195,15.4642,SUPER 95,1.459,SUPER 95 1.459 EUR,~/Desktop/MBAT-Internship-Project/data_OMV_at/prices_AT.1005.8_2025-09-02_11-07-00.png,~/Desktop/MBAT-Internship-Project/data_OMV_at/response_AT.1005.8_2025-09-02_11-07-00.json,2025-09-02T01:07:02Z
