station_id,brand_id,town,postcode,lat,lon
AT.1005.8,OMV,Graz,8041,47.04195,15.4642
AT.1102.8,AVANTI,Graz,8054,47.02883,15.40058
AT.1103.8,AVANTI,Sankt Margarethen an der Raab,8321,47.04704,15.74609
AT.1104.8,HOFER,Seiersberg,8055,47.0138,15.4099
AT.1105.8,HOFER,Graz,8055,47.0303,15.4375
AT.1106.8,HOFER,Hartberg,8230,47.2854,15.9916
AT.1107.8,HOFER,Liezen,8940,47.56162,14.24845
AT.1108.8,HOFER,Leoben,8700,47.38282,15.1063
AT.1109.8,HOFER,Scheifling,8811,47.1541,14.415
AT.1110.8,HOFER,Zeltweg,8740,47.1951,14.7412
AT.1111.8,HOFER,Leibnitz,8430,46.7977,15.5567
AT.1112.8,HOFER,Feldbach,8330,46.9523,15.8702
AT.1113.8,HOFER,Graz Karlau,8020,47.05646,15.42804
AT.1115.8,AVANTI,Strau00df in der Steiermark,8471,46.70673,15.63392
AT.1124.8,HOFER,Schladming,8970,47.39045,13.65741
AT.1171.8,AVANTI,Lieboch,8501,46.96186,15.3529
AT.1210.8,AVANTI,Mu00fcrzzuschlag,8680,47.58709,15.65981
AT.1361.8,OMV,Neuberg,8692,47.65921,15.58941
AT.1500.8,AVANTI,Knittelfeld,8720,47.21001,14.80875
AT.1502.8,OMV,Kapfenberg,8605,47.45024,15.33985
AT.1505.8,OMVFASTLANE,Bad Mitterndorf,8983,47.5605,13.92111
AT.1509.8,AVANTI,Fu00fcrstenfeld,8280,47.04909,16.08948
AT.1521.8,AVANTI,Stegersbach,7551,47.16113,16.16488
AT.1537.8,OMV,Landscha an der Mur,8424,46.76379,15.58034
AT.1560.8,OMV,Neumarkt,8820,47.06752,14.43023
AT.1561.8,OMV,Kapfenberg,8605,47.44692,15.30208
AT.1562.8,OMV,Murau,8850,47.11225,14.1823
AT.1577.8,OMV,Langenwang,8665,47.55876,15.59092
AT.1579.8,OMV,Kaindorf,8224,47.21909,15.90144
AT.1591.8,OMV,Deutschlandsberg,8530,46.81593,15.2346
AT.1604.8,AVANTI,Graz,8041,47.03679,15.46252
AT.1606.8,OMV,Bruck an der Mur,8600,47.40623,15.26573
AT.1607.8,OMV,Graz,8010,47.07722,15.45904
AT.1617.8,OMV,Dobl (Kaiserwald),8143,46.95939,15.38155
AT.1620.8,OMV,Bad Waltersdorf,8271,47.16299,16.01469
AT.1636.8,OMVFASTLANE,Gru00f6bming,8962,47.44638,13.91254
AT.1640.8,OMV,Oberwart,7400,47.28297,16.18523
AT.1641.8,AVANTI,Kemeten,7531,47.27573,16.15609
AT.1647.8,OMV,Fu00fcrstenfeld,8280,47.06559,16.0368
AT.1650.8,OMV,Graz,8020,47.05947,15.41386
AT.1654.8,OMV,Graz,8054,47.03326,15.39896
AT.1661.8,OMV,Gleisdorf,8200,47.1057,15.70097
AT.1722.8,AVANTI,Graz,8045,47.10248,15.42493
AT.1723.8,OMV,Graz,8010,47.08178,15.454040000000001
AT.1767.8,OMV,Lieboch,8501,46.9723,15.36164
AT.1776.8,OMV,Vorau,8250,47.40488,15.88963
AT.1781.8,OMV,Deutschfeistritz,8121,47.20552,15.31602
AT.1783.8,OMV,Graz,8042,47.04384,15.48696
AT.1784.8,OMV,Admont,8911,47.58208,14.45614
AT.1787.8,OMV,Kalsdorf bei Graz,8401,46.97221,15.47013
AT.1811.8,OMV,Rechnitz,7471,47.30261,16.44242
AT.1861.8,AVANTI,Pinkafeld,7423,47.3744,16.12554
AT.1867.8,OMVFASTLANE,Bad Radkersburg,8490,46.69205,15.9773
AT.2005.8,AVANTI,Klagenfurt,9020,46.63785,14.37077
AT.2006.8,HOFER,Klagenfurt,9020,46.6081,14.3301
AT.2007.8,HOFER,Treffen,9521,46.65143,13.87442
AT.2008.8,HOFER,Villach,9500,46.63162,13.82642
AT.2013.8,OMVFASTLANE,St. Jakob,9111,46.68129,14.67847
AT.2504.8,AVANTI,Sankt Jakob im Rosental,9184,46.54654,14.06226
AT.2505.8,OMV,Sillian,9920,46.74021,12.37517
AT.2514.8,OMV,Bad St. Leonhard im Lavanttal,9462,46.96214,14.79496
AT.2522.8,OMV,Spittal an der Drau,9800,46.79163,13.50961
AT.2528.8,OMV,Klagenfurt,9020,46.62956,14.35681
AT.2539.8,AVANTI,Klagenfurt,9020,46.65337,14.31387
AT.2548.8,OMV,Sankt Andru00e4,9433,46.7449,14.82285
AT.2559.8,OMV,Hermagor,9620,46.62964,13.37877
AT.2562.8,OMV,Grafenstein,9131,46.6396,14.4509
AT.2568.8,OMV,Feldkirchen,9560,46.72299,14.09689
AT.2570.8,OMV,Bleiburg,9150,46.57613,14.77537
AT.2573.8,OMVFASTLANE,Lienz,9900,46.83172,12.75363
AT.2574.8,OMV,Lienz,9900,46.83095,12.77553
AT.2578.8,OMV,Seeboden,9871,46.81713,13.51108
AT.2580.8,AVANTI,Sankt Veit an der Glan,9300,46.76102,14.36625
AT.2586.8,OMV,Althofen,9330,46.87159,14.46729
AT.2587.8,OMV,Viktring,9073,46.59189,14.27158
AT.2589.8,OMV,Wolfsberg,9400,46.82775,14.83911
AT.2590.8,HOFER,Klagenfurt,9020,46.64932,14.28436
AT.2593.8,OMV,Pu00f6rtschach,9210,46.63668,14.13709
AT.2595.8,OMV,Villach,9500,46.60434,13.87092
AT.2599.8,OMV,Sankt Veit an der Glan,9300,46.76591,14.36587
AT.2600.8,EURT,Arnoldstein,9601,46.5595,13.69735
AT.2651.8,AVANTI,Friesach,9360,46.97355,14.39351
AT.2653.8,AVANTI,Klagenfurt,9020,46.65383,14.28047
AT.2656.8,AVANTI,Klagenfurt,9020,46.62048,14.26865
AT.2711.8,AVANTI,Wernberg,9241,46.61782,13.95629
AT.2731.8,OMV,Wolfsberg,9400,46.84742,14.84422
AT.2733.8,AVANTI,Griffen,9112,46.70256,14.72846
AT.2734.8,OMV,Eisentratten,9861,46.91988,13.57964
AT.3001.8,HOFER,Traun,4050,48.2352,14.235900000000001
AT.3002.8,HOFER,Unterweitersdorf,4210,48.3585,14.4779
AT.3004.8,HOFER,Wels,4600,48.1437,13.9715
AT.3005.8,HOFER,Tumeltsham,4910,48.217,13.4957
AT.3006.8,HOFER,Mattighofen,5230,48.1141,13.1514
AT.3007.8,HOFER,Ansfelden,4052,48.2146,14.2773
AT.3008.8,HOFER,Micheldorf,4563,47.8895,14.1281
AT.3010.8,HOFER,Wallern,4702,48.23833,13.95712
AT.3011.8,HOFER,Vorchdorf,4655,48.0083,13.9195
AT.3012.8,AVANTI,Linz,4020,48.24886,14.29472
AT.3026.8,HOFER,Leonding,4060,48.2717,14.2681
AT.3027.8,HOFER,Braunau,5280,48.2447,13.0487
AT.3028.8,HOFER,Enns,4470,48.2162,14.458
AT.3029.8,HOFER,Regau,4844,47.9824,13.6989
AT.3030.8,HOFER,Ried im Innkreis,4910,48.2072,13.4651
AT.3031.8,HOFER,Mondsee,5310,47.869,13.3247
AT.3033.8,HOFER,Timelkam,4850,47.9978,13.6211
AT.3034.8,HOFER,Mauthausen,4310,48.2401,14.5312
AT.3035.8,HOFER,St. Florian,4490,48.2274,14.3937
AT.3036.8,HOFER,Spittal an der Drau,9800,46.78724,13.51782
AT.3037.8,HOFER,Altenfelden i. Mkr.,4121,48.4971,13.96922
AT.3038.8,HOFER,Redlham,4846,48.04685,13.75945
AT.3040.8,AVANTI,Eggelsberg,5142,48.073152,12.990594
AT.3045.8,OMV,St. Georgen im Attergau,4880,47.92917,13.50204
AT.3102.8,HOFER,Wels,4600,48.183554,14.025008
AT.3110.8,AVANTI,Steyr,4400,48.04345,14.38747
AT.3333.8,AVANTI,Ort im Innkreis,4974,48.31724,13.42524
AT.3504.8,AVANTI,Zwettl,4180,48.46445,14.27161
AT.3505.8,AVANTI,Leonding,4060,48.27299,14.25294
AT.3506.8,AVANTI,Rohr im Kremstal,4532,48.0631,14.19462
AT.3513.8,AVANTI,Sankt Florian/Inn,4780,48.43865,13.44392
AT.3516.8,OMV,Ottnang a. H.,4901,48.09666,13.66729
AT.3523.8,OMV,Grieskirchen,4710,48.2327,13.82238
AT.3525.8,OMV,Gmunden,4810,47.92428,13.78782
AT.3535.8,OMVFASTLANE,Haslach an der Mu00fchl,4170,48.57546,14.05164
AT.3537.8,AVANTI,Losenstein,4460,47.92933,14.41353
AT.3540.8,AVANTI,Linz,4020,48.28312,14.28828
AT.3542.8,OMV,Unterweissenbach,4273,48.43733,14.78153
AT.3548.8,AVANTI,Ried im Innkreis,4910,48.21309,13.48535
AT.3557.8,AVANTI,Haid,4053,48.20365,14.24699
AT.3563.8,AVANTI,Schwanenstadt,4690,48.05761,13.7804
AT.3566.8,OMV,Linz,4020,48.31554,14.30166
AT.3569.8,OMV,Walding,4111,48.34793,14.15387
AT.3571.8,OMV,Mondsee,5310,47.85349,13.34419
AT.3573.8,AVANTI,Gosau,4824,47.57958,13.53156
AT.3574.8,AVANTI,Braunau,5280,48.26028,13.05145
AT.3577.8,OMV,Steyr,4400,48.05521,14.44928
AT.3581.8,OMV,Bad Leonfelden,4190,48.51185,14.29526
AT.3582.8,OMV,Altheim,4950,48.25413,13.23644
AT.3583.8,OMV,Braunau,5280,48.24673,13.0403
AT.3584.8,OMV,Laakirchen,4663,48.00466,13.85405
AT.3587.8,AVANTI,Alkoven,4072,48.28792,14.07613
AT.3595.8,OMV,Ansfelden,4052,48.21607,14.27936
AT.3599.8,OMV,Engerwitzdorf,4209,48.3418,14.41327
AT.3606.8,AVANTI,Mauthausen,4310,48.24347,14.53427
AT.3714.8,OMV,Attnang-Puchheim,4800,48.00541,13.70937
AT.3717.8,OMV,Linz,4020,48.28592,14.30255
AT.3738.8,AVANTI,Ampflwang,4843,48.08075,13.56378
AT.3742.8,AVANTI,Linz-Urfahr,4040,48.32105,14.28817
AT.3744.8,AVANTI,Traun/St.Martin,4050,48.23916,14.2622
AT.3746.8,OMV,Leonding,4060,48.27868,14.2457
AT.3749.8,OMV,Innerschwand am Mondsee,5311,47.83687,13.39455
AT.3752.8,OMV,Wels,4600,48.16575,14.0391
AT.3753.8,AVANTI,Linz,4030,48.26326,14.3232
AT.3754.8,OMVFASTLANE,Linz,4030,48.25805,14.32992
AT.3909.8,OMVFASTLANE,Neustift im Mu00fchlkreis,4143,48.52955,13.74859
AT.3911.8,EURT,Sankt Marienkirchen bei Schu00e4rding,4774,48.39518,13.42651
AT.3950.8,AVANTI,Ebensee,4802,47.81255,13.77331
AT.3951.8,AVANTI,Hartkirchen,4081,48.35956,13.99537
AT.3952.8,AVANTI,Kronstorf,4484,48.14532,14.46511
AT.3954.8,AVANTI,Marchtrenk,4614,48.18954,14.09827
AT.3956.8,AVANTI,Rutzenmoos,4845,47.95502,13.73619
AT.3959.8,AVANTI,Steyr,4400,48.05739,14.42064
AT.4006.8,AVANTI,Strasswalchen,5204,47.96971,13.2461
AT.4007.8,OMV,Bergheim,5101,47.83065,13.06571
AT.4009.8,HOFER,Wals,5071,47.7934,12.9844
AT.4011.8,HOFER,Anif,5081,47.7388,13.0506
AT.4012.8,HOFER,St. Johann,5600,47.3572,13.1977
AT.4013.8,HOFER,Kuchl,5431,47.6379,13.1379
AT.4014.8,HOFER,Hallwang,5300,47.83,13.0822
AT.4502.8,OMV,Zell am See,5700,47.29793,12.79454
AT.4503.8,OMV,Saalfelden,5760,47.42897,12.84275
AT.4504.8,OMV,Schwarzach,5620,47.32019,13.14384
AT.4508.8,AVANTI,Leogang,5771,47.43954,12.75824
AT.4510.8,OMV,Salzburg,5020,47.77622,13.06826
AT.4517.8,OMV,Lamprechtshausen,5112,47.98643,12.95445
AT.4518.8,AVANTI,Thalgau,5303,47.84126,13.24865
AT.4522.8,OMV,Bramberg,5733,47.2678,12.33757
AT.4531.8,OMV,Obertrum,5162,47.93554,13.08069
AT.4534.8,OMV,Salzburg,5020,47.79796,13.00609
AT.4535.8,AVANTI,Saalfelden,5760,47.42305,12.85009
AT.4536.8,OMV,Salzburg,5020,47.82232,13.03982
AT.4544.8,OMVFASTLANE,Sankt Johann im Pongau,5600,47.34862,13.20651
AT.4546.8,OMV,Salzburg,5020,47.81696,13.05364
AT.4547.8,OMV,Sankt Michael im Lungau,5582,47.09406,13.67553
AT.4552.8,OMV,Neumarkt am Wallersee,5202,47.9233,13.2166
AT.4565.8,OMV,Golling an der Salzach,5440,47.58396,13.1575
AT.4570.8,OMV,Salzburg,5023,47.81309,13.0695
AT.4571.8,EURT,Wals Siezenheim,5071,47.81733,12.98016
AT.4605.8,OMV,Salzburg,5020,47.78703,13.05175
AT.4724.8,OMV,Salzburg,5020,47.82773,13.00872
AT.5005.8,OMV,Gries am Brenner,6156,47.0076,11.50913
AT.5006.8,AVANTI,Rum,6063,47.27753,11.45756
AT.5007.8,HOFER,Nussdorf,9990,46.8274,12.8158
AT.5008.8,HOFER,Innsbruck,6020,47.27889,11.42069
AT.5009.8,HOFER,Heinfels,9919,46.74831,12.45299
AT.5048.8,AVANTI,Kufstein,6330,47.58636,12.16222
AT.5504.8,OMV,Gries am Brenner,6156,47.01424,11.50557
AT.5505.8,OMV,Innsbruck,6020,47.25734,11.37805
AT.5509.8,OMV,Achenkirch,6215,47.529,11.708
AT.5511.8,AVANTI,Zirl,6170,47.27135,11.25196
AT.5517.8,OMV,Brixlegg,6230,47.43323,11.88036
AT.5518.8,AVANTI,Haldensee,6673,47.49479,10.55756
AT.5519.8,AVANTI,Strass im Zillertal,6261,47.39793,11.81625
AT.5528.8,OMV,Kufstein,6330,47.58913,12.17427
AT.5534.8,AVANTI,Kundl,6250,47.46587,11.98732
AT.5536.8,OMV,Reith bei Seefeld,6100,47.32402,11.19909
AT.5538.8,OMV,Matrei,6143,47.1286,11.45258
AT.5545.8,OMV,Hopfgarten,6361,47.45309,12.15153
AT.5546.8,AVANTI,Arzl im Pitztal,6471,47.21094,10.75935
AT.5548.8,OMV,Schwaz,6130,47.35044,11.70603
AT.5549.8,OMV,Gries am Brenner,6156,47.01769,11.50733
AT.5550.8,OMV,Angath,6321,47.5195,12.066
AT.5571.8,OMV,Wu00f6rgl,6300,47.49028,12.07354
AT.5574.8,OMV,Nassereith,6465,47.3272,10.8198
AT.5575.8,OMV,Ellmau,6352,47.52129,12.26891
AT.5583.8,OMV,Tannheim,6675,47.49917,10.51679
AT.5584.8,OMV,Lu00e4ngenfeld,6444,47.07863,10.96764
AT.5588.8,OMV,Kitzbu00fchel,6370,47.45609,12.38639
AT.5589.8,OMV,Ried im Oberinntal,6531,47.05741,10.65375
AT.5594.8,OMV,Hall in Tirol,6060,47.27348,11.47347
AT.5595.8,AVANTI,Kirchdorf in Tirol,6383,47.54417,12.44904
AT.5596.8,OMV,Pettneu am Arlberg,6574,47.1489,10.3743
AT.5597.8,OMV,u00d6tztal-Bahnhof,6430,47.22949,10.85657
AT.5602.8,AVANTI,Fu00fcgen im Zillertal,6263,47.35141,11.85149
AT.5606.8,EURT,KUFSTEIN,6330,47.56574,12.15013
AT.5652.8,OMV,Innsbruck,6020,47.26531,11.42629
AT.5653.8,AVANTI,Innsbruck,6020,47.26533,11.42537
AT.5655.8,AVANTI,Landeck,6500,47.14163,10.56352
AT.5658.8,AVANTI,Wu00f6rgl,6300,47.49011,12.0728
AT.5659.8,AVANTI,Achenkirch,6215,47.55139,11.68864
