station_id,brand_id,town,postcode,lat,lon
RO.1003.8,PETROM,Bucuresti,13691,44.48775,26.07901
RO.1006.8,PETROM,Bucuresti,10583,44.45939,26.09507
RO.1007.8,PETROM,Bucuresti,14252,44.47959,26.09883
RO.1008.8,PETROM,Bucuresti,20941,44.4372,26.10484
RO.1009.8,PETROM,Bucuresti,50082,44.43328,26.09273
RO.1011.8,PETROM,Bucuresti,060786,44.44272,26.03619
RO.1012.8,PETROM,Bucuresti,20072,44.44797,26.10743
RO.1014.8,PETROM,Cimpeni,515500,46.3618,23.04885
RO.1015.8,PETROM,Bucuresti,010216,44.43465,26.08398
RO.1016.8,PETROM,Com. Ciolpani,77050,44.72755,26.10952
RO.1017.8,PETROM,Oras Buftea,70000,44.5753,25.9411
RO.1018.8,OMV,Oras Voluntari,077190,44.49187,26.18997
RO.1019.8,PETROM,Bucuresti,11057,44.45173,26.07372
RO.1023.8,PETROM,Bucuresti,23961,44.4371,26.11389
RO.1024.8,PETROM,com.Buchin,327055,45.36874,22.24042
RO.1025.8,PETROM,Iasi,700212,47.14915,27.57861
RO.1026.8,PETROM,Bucuresti,041334,44.3833,26.14748
RO.1028.8,PETROM,Bucuresti,21666,44.44099,26.19228
RO.1029.8,PETROM,Bucuresti,30184,44.42847,26.14002
RO.1031.8,PETROM,Bucuresti,41441,44.39133,26.10948
RO.1032.8,OMV,Bucuresti,030431,44.43318,26.16017
RO.1033.8,PETROM,Bucuresti,30445,44.41471,26.16501
RO.1034.8,PETROM,Bucuresti,40561,44.41177,26.09255
RO.1035.8,PETROM,Com. Jilava,77120,44.354844,26.085696
RO.1036.8,PETROM,Constanta,900016,44.13807,28.62064
RO.1038.8,PETROM,Timisoara,300291,45.47184,21.13169
RO.1039.8,OMV,Arad,310163,46.12941,21.31769
RO.1042.8,PETROM,Pantelimon,077145,44.45352,26.26202
RO.1043.8,PETROM,Bucuresti,051527,44.39766,26.04258
RO.1044.8,PETROM,Bucuresti,50099,44.43838,26.06949
RO.1045.8,PETROM,Bucuresti,51015,44.41777,26.05813
RO.1046.8,PETROM,Bucuresti,061533,44.42603,26.04762
RO.1049.8,PETROM,Bucuresti,61127,44.43482,25.9884
RO.1050.8,PETROM,Bucuresti,51901,44.40841,26.07621
RO.1051.8,PETROM,"Sat Cascioarele, Com. Gaiseni",087085,44.47955,25.67324
RO.1052.8,OMV,Bucuresti,12406,44.48835,26.01561
RO.1053.8,PETROM,Bucuresti,50341,44.38916,26.09179
RO.1055.8,PETROM,Bucuresti,50587,44.43097,26.07149
RO.1056.8,OMV,Oradea,410554,47.031391,21.991904
RO.1057.8,PETROM,Bucuresti,40172,44.42394,26.09524
RO.1059.8,OMV,Timisoara,300517,45.71266,21.19321
RO.1060.8,OMV,com. Ghiroda,307200,45.77637,21.30626
RO.1061.8,PETROM,Pantelimon,077145,44.482723,26.222358
RO.1062.8,OMV,Zalau,50125,47.22352,23.02042
RO.1065.8,OMV,Com. Domnesti,77090,44.41092,25.9731
RO.1067.8,OMV,Com. 1 Decembrie,77005,44.30155,26.06194
RO.1068.8,PETROM,Bucuresti,20282,44.45976,26.10695
RO.1069.8,PETROM,Bucuresti,60133,44.42633,26.05902
RO.1070.8,PETROM,Bucuresti,41454,44.38827,26.1101
RO.1071.8,PETROM,Com. Chitila,077046,44.4806,25.97085
RO.1072.8,PETROM,"Sat Jilava, Com.Jilava",077120,44.36273,26.08701
RO.1073.8,PETROM,Bucuresti,13219,44.48371,26.0452
RO.1074.8,PETROM,Bucuresti,30337,44.41154,26.12555
RO.1075.8,PETROM,Bucuresti,30312,44.41657,26.13517
RO.1076.8,OMV,Bucuresti,61127,44.43425,25.99546
