station_id,brand_id,town,postcode,lat,lon
RS.2101.8,OMV,Lapovo,34220,44.2069,21.1058
RS.2102.8,OMV,Lapovo,34220,44.20484,21.10785
RS.2109.8,OMV,Aleksinac,18220,43.61688,21.59163
RS.2115.8,OMV,Razanj,37217,43.64179,21.55717
RS.2116.8,OMV,Nis,18410,43.18255,21.86216
RS.2151.8,OMV,Sremska Mitrovica,22000,45.03567,19.44936
RS.2152.8,OMV,Sremska Mitrovica,22000,45.03623,19.45074
RS.2201.8,OMV,Beograd,11001,44.80856,20.51289
RS.2202.8,OMV,Beograd,11004,44.84125,20.49138
RS.2204.8,OMV,Beograd,11002,44.7846,20.4131
RS.2205.8,OMV,Beograd,11003,44.7344,20.41893
RS.2206.8,OMV,Novi Beograd,11070,44.8033,20.3911
RS.2207.8,OMV,Beograd,11001,44.86304,20.47651
RS.2208.8,OMV,Beograd,11000,44.7825,20.5219
RS.2209.8,OMV,Beograd,11000,44.76057,20.47286
RS.2210.8,OMV,Zemun,11080,44.86573,20.34644
RS.2211.8,OMV,Zemun,11080,44.86829,20.35587
RS.2215.8,OMV,Beograd,11271,44.8114,20.25395
RS.2216.8,OMV,Dobanovci-Surcin,11272,44.815028,20.251882
RS.2219.8,OMV,Beograd,11231,44.7074,20.5681
RS.2301.8,OMV,Nis,18000,43.31654,21.85033
RS.2303.8,OMV,Dimitrovgrad,18320,43.0005,22.8198
RS.2304.8,OMV,Nis,18000,43.33896,21.87549
RS.2305.8,OMV,Nis,18000,43.3243,21.9255
RS.2306.8,OMV,Zajecar,19000,43.91081,22.26001
RS.2307.8,OMV,Vranje,17000,42.54446,21.89919
RS.2309.8,OMV,Leskovac,16000,42.99683,21.96244
RS.2310.8,OMV,Smederevo,11300,44.63944,20.95621
RS.2311.8,OMV,Pozarevac,12000,44.60683,21.167
RS.2312.8,OMV,Boljevac,19370,43.82976,21.94692
RS.2401.8,OMV,Sabac,15000,44.7399,19.6894
RS.2402.8,OMV,Loznica,15300,44.57444,19.24188
RS.2404.8,OMV,Kragujevac,34000,44.00253,20.893
RS.2405.8,OMV,Lajkovac,14224,44.36553,20.19665
RS.2407.8,OMV,Kraljevo,36000,43.71634,20.69265
RS.2408.8,OMV,Krusevac,37000,43.5955,21.3152
RS.2409.8,OMV,Ruma,22400,44.93446,19.91541
RS.2410.8,OMV,Uzice,31000,43.84838,19.86316
RS.2411.8,OMV,Kraljevo,36000,43.71187,20.617
RS.2412.8,OMV,Cacak,32000,43.89047,20.3387
RS.2413.8,OMV,Gornji Milanovac,32300,44.0039,20.45402
RS.2414.8,OMV,Arandjelovac,34300,44.30346,20.5764
RS.2415.8,OMV,Jagodina,35000,43.96431,21.2785
RS.2416.8,OMV,Smederevska Palanka,11420,44.37063,20.94265
RS.2417.8,OMV,Trstenik,37240,43.61371,21.01535
RS.2419.8,OMV,Paracin,35250,43.8586,21.43026
RS.2421.8,OMV,Cacak,32000,43.88109,20.37302
RS.2601.8,OMV,Subotica,24000,46.08583,19.66972
RS.2602.8,OMV,Backa Topola,24300,45.792187,19.693688
RS.2603.8,OMV,Beska,22324,45.14983,20.08259
RS.2604.8,OMV,Backa Topola,24301,45.79472,19.6942
RS.2605.8,OMV,Beska,22324,45.1465,20.0847
RS.2606.8,OMV,Kikinda,23300,45.8227,20.45429
RS.2607.8,OMV,Indjija,22300,45.02646,20.10607
RS.2608.8,OMV,Kovin,26220,44.7513,20.9671
RS.2610.8,OMV,Palic,24413,46.10464,19.73761
RS.2611.8,OMV,Vrbas,21460,45.56434,19.64767
RS.2651.8,OMV,Novi Sad,21000,45.26875,19.82435
RS.2652.8,OMV,Novi Sad,21000,45.25918,19.80624
RS.2702.8,OMV,Zrenjanin,23000,45.37396,20.4124
RS.2705.8,OMV,Vrsac,26300,45.13221,21.2876
RS.2706.8,OMV,Pancevo,26000,44.85711,20.65208
RS.2707.8,OMV,Vrsac,26300,45.10357,21.27533
RS.2709.8,OMV,Zrenjanin,23000,45.37857,20.40015
