"unique_coord_key","lat_rounded","lon_rounded","source_count","sources","station_ids","station_names"
"40.0451011657715,15.609299659729",40.0451011657715,15.609299659729,1,"ARBÖ","INFT-D45GM8","Turm<U+00F6>l"
"46.4897994995117,14.5897998809814",46.4897994995117,14.5897998809814,1,"ARBÖ","INFT-CCASLJ","eni"
"46.5247001647949,14.1635999679565",46.5247001647949,14.1635999679565,2,"ARBÖ;ÖAMTC","INFT-AJKHQM;1140336","SOCAR Feistritz im Rosental;SOCAR"
"46.5279998779297,14.2918996810913",46.5279998779297,14.2918996810913,2,"ARBÖ;ÖAMTC","INFT-BFRAKN;1006377","BP;BP"
"46.5285987854004,14.2913999557495",46.5285987854004,14.2913999557495,1,"ARBÖ","INFT-CGGDBB","eni"
"46.5442008972168,13.6534996032715",46.5442008972168,13.6534996032715,1,"ARBÖ","INFT-CL3GDF","BP Tankstelle"
"46.546501159668,14.0622997283936",46.546501159668,14.0622997283936,1,"ARBÖ","INFT-AJJL4X","AVANTI - Sankt Jakob im Rosental 141"
"46.5516014099121,14.0490999221802",46.5516014099121,14.0490999221802,1,"ARBÖ","INFT-AJJUA9","Lagerhaus Tankstelle "
"46.5531997680664,13.6962003707886",46.5531997680664,13.6962003707886,1,"ARBÖ","INFT-AJJUAA","Maurer - Arnoldstein"
"46.5555000305176,13.7910995483398",46.5555000305176,13.7910995483398,1,"ARBÖ","INFT-CD4BXG","eni"
"46.5611000061035,13.9151000976562",46.5611000061035,13.9151000976562,1,"ARBÖ","INFT-AJJL56","Urschitz"
"46.565299987793,13.9186000823975",46.565299987793,13.9186000823975,2,"ARBÖ;ÖAMTC","INFT-AJJL54;1208376","SOCAR Faak am See;SOCAR"
"46.5662002563477,13.8221998214722",46.5662002563477,13.8221998214722,2,"ARBÖ;ÖAMTC","INFT-AJJL53;1209569","F. LEITNER - Kult 34;F. Leitner - Kult34"
"46.5791015625,13.9995002746582",46.5791015625,13.9995002746582,1,"ARBÖ","INFT-CEYEZY","Maurer - A11 Karawankenautobahn "
"46.5801010131836,13.6077003479004",46.5801010131836,13.6077003479004,2,"ARBÖ;ÖAMTC","INFT-ATLMUG;1208310","Turm<U+00F6>l Quick;Turm<U+00F6>l Quick"
"46.5834999084473,13.6107997894287",46.5834999084473,13.6107997894287,1,"ARBÖ","INFT-CCBJL6","eni"
"46.5858993530273,14.7953996658325",46.5858993530273,14.7953996658325,1,"ARBÖ","INFT-AJMGE2","ENI"
"46.5876998901367,14.1409997940063",46.5876998901367,14.1409997940063,1,"ARBÖ","INFT-CGGDBA","Tankshop Sabotnig"
"46.5900001525879,14.6377000808716",46.5900001525879,14.6377000808716,1,"ARBÖ","INFT-AJKHT8","Lagerhaus"
"46.5918998718262,14.2715997695923",46.5918998718262,14.2715997695923,1,"ARBÖ","INFT-ALU6VE","OMV - Viktring Keutschacher Stra<U+00DF>e 135"
"46.5928993225098,14.7947998046875",46.5928993225098,14.7947998046875,1,"ARBÖ","INFT-AJMGE3","Lagerhaus"
"46.5940017700195,13.8436002731323",46.5940017700195,13.8436002731323,1,"ARBÖ","INFT-AJJL58","Turm<U+00F6>l Quick"
"46.5971984863281,13.8386001586914",46.5971984863281,13.8386001586914,1,"ARBÖ","INFT-CCBDXT","Diskont Tankstelle"
"46.597900390625,13.8499002456665",46.597900390625,13.8499002456665,2,"ARBÖ;ÖAMTC","INFT-D8SHCH;1213980","Rumpold;Rumpold"
"46.597900390625,13.8500995635986",46.597900390625,13.8500995635986,1,"ARBÖ","INFT-CWBREM","Drautank Villach"
"46.598201751709,13.8489999771118",46.598201751709,13.8489999771118,2,"ARBÖ;JET","INFT-ATSHYF;dc2b8ef1de","JET TANKSTELLE;JET Tankstelle"
"46.6032981872559,13.8404998779297",46.6032981872559,13.8404998779297,2,"ARBÖ;ÖAMTC","INFT-CCC3DW;1208291","eni;Eni"
"46.6035003662109,14.2969999313354",46.6035003662109,14.2969999313354,2,"ARBÖ;ÖAMTC","INFT-CCT9YG;1208286","eni;Eni"
"46.6043014526367,13.8709001541138",46.6043014526367,13.8709001541138,1,"ARBÖ","INFT-AJJUAG","OMV - Villach Maria-Gailer-Stra<U+00DF>e 53"
"46.6043014526367,14.0353002548218",46.6043014526367,14.0353002548218,1,"ARBÖ","INFT-CCCDXR","eni"
"46.6046981811523,13.8649997711182",46.6046981811523,13.8649997711182,1,"ARBÖ","INFT-AJJUAH","BP"
"46.605598449707,14.2979001998901",46.605598449707,14.2979001998901,2,"ARBÖ;ÖAMTC","INFT-DH4J7W;1214108","Seebacher Tank- u. Waschcenter;Tank- und Waschcenter Seebacher"
"46.6057014465332,14.2979001998901",46.6057014465332,14.2979001998901,1,"ARBÖ","INFT-ARPBYL","Shell Klagenfurt"
"46.6060981750488,14.309100151062",46.6060981750488,14.309100151062,1,"ARBÖ","INFT-CCT9YF","eni"
"46.6063995361328,14.2892999649048",46.6063995361328,14.2892999649048,2,"ARBÖ;JET","INFT-ATSHX4;68a717b509","JET TANKSTELLE;JET Tankstelle"
"46.6068992614746,14.3044996261597",46.6068992614746,14.3044996261597,1,"ARBÖ","INFT-AJKA78","Unser Lagerhaus"
"46.6074981689453,13.8414001464844",46.6074981689453,13.8414001464844,1,"ARBÖ","INFT-AJLA24","SOCAR TankAUTOMAT Villach"
"46.6081008911133,14.3301000595093",46.6081008911133,14.3301000595093,1,"ARBÖ","INFT-CCRE4F","Diskont Tankstelle"
"46.6081008911133,14.3542003631592",46.6081008911133,14.3542003631592,2,"ARBÖ;JET","INFT-ATSHX5;118fda48d1","JET TANKSTELLE;JET Tankstelle"
"46.608699798584,14.2993001937866",46.608699798584,14.2993001937866,1,"ARBÖ","INFT-AJJU64","Turm<U+00F6>l Quick"
"46.6091003417969,14.3302001953125",46.6091003417969,14.3302001953125,1,"ARBÖ","INFT-C98E45","Turm<U+00F6>l"
